"","speed","X.break","Y.break","Type"
"512",91.7,-0.28,-2.15,"FF"
"8297",93.2,0.971606298162116,16.6679623789979,"FF"
"3380",92,-2.78,11.25,"FF"
"1388",91.6,0.74,10.67,"FF"
"3069",93.6,-1.2,12.94,"FF"
"5802",74.4,-0.92,-13.98,"CU"
"2841",92.6,-0.57,13.48,"FF"
"4056",93.6,-0.59,10.87,"FF"
"3771",93.3,0.45,11.55,"FF"
"3520",92.5,1.91,9.96,"FF"
"9299",74.5,2.90295124239535,-3.91415724429178,"CU"
"331",92.7,2.93,13.18,"FF"
"6743",93.4,2.69,11.63,"FF"
"5672",94.4,-2.77,9.9,"FF"
"8676",93.1,0.0620521925975948,12.8234451337351,"FF"
"549",92.4,-0.37,-2.89,"FF"
"602",91.9,-0.08,13.94,"FF"
"6560",92.6,-0.22,10.69,"FF"
"8538",73.2,-3.93434756986199,-12.4605270673946,"CU"
"2029",92,1.86,10.33,"FF"
"5480",73,1.83,-11.06,"CU"
"330",93.8,0.49,13.75,"FF"
"6616",93.9,1.9,11.52,"FF"
"3812",93.2,-0.79,15.74,"FF"
"9494",93,0.910169421818623,14.0051266567168,"FF"
"2756",92.6,1.63,10.7,"FF"
"3296",91.8,0.37,12.02,"FF"
"5318",94.5,1.57,9.99,"FF"
"8071",93.3,-0.02,13.68,"FF"
"9421",93.1,1.00253579215,14.5732219032,"FF"
"2741",93.2,-1.47,10.48,"FF"
"8993",93.7,-0.736115843519184,12.8961890327191,"FF"
"3575",92.8,0.55,12.89,"FF"
"126",91.7,-0.71,11.14,"FF"
"6610",93.3,0.45,9.68,"FF"
"3646",75.6,-3.23,-8.39,"CU"
"1693",93.3,-1.97,14.23,"FF"
"1926",92.3,0.16,11.28,"FF"
"1415",92.7,2.62,9.81,"FF"
"6291",93.1,0.33,10.11,"FF"
"9654",92,1.52132488618348,12.1823067777786,"FF"
"394",93.2,1.3,11.35,"FF"
"7608",92.4,-0.41,14.87,"FF"
"3050",93.3,0.88,13.61,"FF"
"706",92.1,-0.82,11.28,"FF"
"8225",93.4,4.39620425610014,12.43033679916,"FF"
"1574",93.2,3.55,14.63,"FF"
"7935",94.3,2.56,14.15,"FF"
"8084",93.3,0,12.86,"FF"
"825",71.8,-3.87,-8.6,"CU"
"1673",94,0.44,15.64,"FF"
"4405",74.7,-3.17,-12.34,"CU"
"801",73.5,-0.09,-9.14,"CU"
"4817",72.4,1.63,-8.47,"CU"
"2469",93.4,-0.88,12.21,"FF"
"5996",94.7,2.07,12.26,"FF"
"981",92.8,2.43,14.11,"FF"
"169",92,1.74,10.53,"FF"
"9005",71.3,-1.03852560516711,-10.2446394115137,"CU"
"6839",91.5,2.26,12.8,"FF"
"5458",93.7,0.26,9.81,"FF"
"500",92.4,-0.92,-2.49,"FF"
"3345",72.9,-3.67,-7.69,"CU"
"728",92.7,1.26,10.63,"FF"
"8596",94.2,2.17520081952942,11.7162705755937,"FF"
"6774",93.1,1.56,14.18,"FF"
"9644",74.3,0.620764643062224,-6.00249031941271,"CU"
"6340",93,3.35,11.62,"FF"
"8751",73.4,0.184288840707889,-3.5509002430634,"CU"
"565",92.3,-1.87,10.8,"FF"
"1176",73.3,0.72,-9.95,"CU"
"875",91.1,0.5,14.93,"FF"
"9624",74.7,-0.862931738978182,-5.13628064711531,"CU"
"1576",93.1,4.57,10.84,"FF"
"9231",73.2,-1.49818051538281,-7.80269864738707,"CU"
"3939",92.7,2.15,10.1,"FF"
"8286",93.9,1.19081820989829,14.2925494103087,"FF"
"5924",73.2,-2.61,-8.75,"CU"
"827",92.1,0.15,13.81,"FF"
"1007",93.4,-0.89,15.63,"FF"
"6729",73.2,-0.91,-8.7,"CU"
"3515",94.3,2.34,11.65,"FF"
"8543",73.4,-5.80934017884492,-12.2552092348213,"CU"
"6884",92.8,1.34,10.86,"FF"
